Aerodromo_de_Destino,Aerodromo_de_Origem,CLS,Categoria_da_Aeronave,Classificacao_da_Ocorrência,Danos_a_Aeronave,Data_da_Ocorrencia,Descricao_do_Tipo,Fase_da_Operacao,Historico,Hora_da_Ocorrência,ICAO,Ilesos_Passageiros,Ilesos_Tripulantes,Latitude,Lesoes_Desconhecidas_Passageiros,Lesoes_Desconhecidas_Terceiros,Lesoes_Desconhecidas_Tripulantes,Lesoes_Fatais_Passageiros,Lesoes_Fatais_Terceiros,Lesoes_Fatais_Tripulantes,Lesoes_Graves_Passageiros,Lesoes_Graves_Terceiros,Lesoes_Graves_Tripulantes,Lesoes_Leves_Passageiros,Lesoes_Leves_Terceiros,Lesoes_Leves_Tripulantes,Longitude,Matricula,Modelo,Municipio,Nome_do_Fabricante,Numero_da_Ficha,Numero_da_Ocorrencia,Numero_de_Assentos,Operacao,Operador,Operador_Padronizado,PMD,PSSO,Regiao,Tipo_ICAO,Tipo_de_Aerodromo,Tipo_de_Ocorrencia,UF
,,L1P,TPP,Acidente,null,2002-02-06,null,null,"A aeronave decolou de Campo Grande (Teruel Ipanema Estância - SSIE) para Ibaté - SP (SDIE), com três pessoas a bordo, a fim de realizar vôo de manutenção. Na altura da Fazenda Fittipaldi Citro, município de Araraquara - SP, de acordo com informações da pessoa que pilotava a aeronave, ocorreu perda de potência no motor, tendo decidido por um pouso de emergência na pista da fazenda. Durante a aproximação final, a aeronave colidiu com laranjais a cerca de 300 metros da cabeceira da pista, sofrendo avarias graves. Seus ocupantes, entretanto, permaneceram ilesos.",null,null,0,0,null,0,0,0,0,0,0,0,0,0,3,0,0,null,PTDCK,U206C,null,CESSNA AIRCRAFT,/2002,4850,6,Voo Privado,CARLOS ROBERTO RODRIGUES,CARLOS ROBERTO RODRIGUES,1633,verdadeiro,null,C206,null,null,Indeterminado
SBGR,SBCY,L2J,TPR,Ocorrência Anormal,Nenhum,2015-03-20,null,Saída IFR,"Dia 20/03/2015 aeronave F-100 prefixo PR-OAJ Decolando de SBCY ás 16:57z com destino a SBGR voo número 6381 com 76 pessoas a bordo (POB), após a decolagem a aeronave apresentou  perda na indicação de velocidade,  Auto Trhotlle e Auto Pilot.  A aeronave retornou ao aeroporto de origem, sem lesões aos ocupantes tão pouco danos a aeronave.",16:57:00,null,71,5,"-15,65",0,0,0,0,0,0,0,0,0,0,0,0,"-56,1172",PROAJ,F28MK0100,CUIABÁ,FOKKER,0464/2015,200,107,Voo Regular,OCEANAIR,OCEANAIR,44450,verdadeiro,Centro-Oeste,F100,null,null,MT
,,L1P,TPP,Incidente Grave,null,2010-02-19,OUTROS,null,"AERONAVE DECOLOU DE CURRAIS NOVOS-RN, ÀS 5:00hs DA MANHÃ COM DESTINO A PETROLINA-PE. APÓS APRESENTAR PROBLEMAS NO GPS OS PILOTOS SE PERDERAM NA NAVEGAÇÃO, OPTANDO POR UM POUSO DE PRECAUÇÃO NA RODOVIA PE-545, DISTANDO CERCA DE 01 (UM) KM DO MUNICÍPIO DE EXU-PE, VISANDO EVITAR PANE SECA. SEGUNDO AUTORIDADE POLICIAL UM DOS PILOTOS INFORMOU QUE IRIA COMPRAR COMBUSTÍVEL EM PETROLINA-PE PARA ABASTECER A AERONAVE. DECOLANDO NA MANHÃ DO DIA SEGUINTE, MESMO SEM AUTORIZAÇÃO POLICIAL, PARA PALMAS-TO COM UMA ESCALA EM PETROLINA-PE, PARA REABASTECIMENTO. TODO O VOO OCORREU SEM REGISTRO DE PLANO DE VOO. O SERIPA II TOMOU CONHECIMENTO ATRAVÉS DA IMPRENSA (ESCRITA), POIS NÃO HOUVE COMUNICAÇÃO DA OCORRÊNCIA. POR PARTE DOS PILOTOS OU OPERADOR DA AERONAVE.",null,null,0,0,null,0,0,0,0,0,0,0,0,0,0,0,0,null,PTOXO,172C,null,CESSNA AIRCRAFT,jun/10,681,4,Voo Privado,FERNANDO ANTÔNIO TEIXEIRA GOUVEA,FERNANDO ANTONIO TEIXEIRA GOUVEA,1020,verdadeiro,Nordeste,C172,null,OTHR,PE
SSKG,SSJI,L1P,TPP,Incidente,Substancial,2015-07-28,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Em rota,"Quando a aeronave se encontrava a 10NM da TMA-CG, houve uma falha do motor que ocasionou vibração anormal da aeronave.O piloto declarou emergência e alternou pouso em SBCG, onde realizou pouso e táxi de regresso normalmente.",19:34:00,null,0,0,"-20,4694",2,0,1,0,0,0,0,0,0,0,0,0,"-54,6703",PTJFA,PA-28R-200,CAMPO GRANDE,PIPER AIRCRAFT,1221/2015,374,4,Voo Privado,JOÃO BATISTA FERRAIRO HONÓRIO,JOAO BATISTA FERRAIRO HONORIO,1179,verdadeiro,Centro-Oeste,P28R,null,SCF-PP,MS
SBCF,SBRJ,L2J,TPR,Ocorrência Anormal,Nenhum,2015-02-18,null,Subida,"APÓS DECOLAGEM, VOO 6991, TRIPULAÇÃO RELATOU PARA EMPRESA PRESENÇA DE NÉVOA NA CABINE DE COMANDO. POR MOTIVOS DE PREVENÇÃO TRIPULAÇÃO REALIZOU RETORNO PARA SDU ONDE POUSOU SEM INTERCORRÊNCIAS. NÃO HOUVE DECLARAÇÃO DE EMERGÊNCIA. APÓS TROCA DE AERONAVE O VOO PROSSEGUIU.",16:50:00,null,93,5,"-22,9103",0,0,0,0,0,0,0,0,0,0,0,0,"-43,1628",PRAUD,ERJ 190-200 IGW,RIO DE JANEIRO,EMBRAER,0325/2015,140,125,Voo Regular,AZUL,AZUL,52290,verdadeiro,Sudeste,E190,null,null,RJ
,,L2J,TPR,Ocorrência Anormal,null,2010-02-03,null,null,"AERONAVE APRESENTOU PARKING BRAKE LIGHT ON EM VOO. APÓS TROUBLE SHOUTING SEM RESULTADO, DECIDIU-SE POR POUSO TÉCNICO EM SBSJ QUE OCORREU NORMALMENTE SEM QUAISQUER CONSEQUENCIAS PARA OS PASSAGEIROS OU TRIPULANTES.",null,null,0,0,null,0,0,0,0,0,0,0,0,0,0,0,0,null,PRAZE,ERJ 190-100 IGW,null,EMBRAER,18/2010,636,113,Voo Regular,AZUL,AZUL,51800,verdadeiro,Sudeste,E190,null,null,SP
,,H1T,TPX,Acidente,null,2010-01-15,OUTROS,null,O HELICOPTÉRO DE MATRÍCULA PT-HLE DECOLOU DO MUNICÍPIO DE TAPAUÁ - AM COM DESTINO A CIDADE DE LÁBREA - AM (SWLB) AS 20:30 Z COM AUTONOMA DE 03:30H PARA UM VOO DE 1:30H E APÓS 00:40 H DE SUA DECOLAGEM PERDEU O CONTATO COM A EMPRESA VIA SPOT (RASTREADOR DE SATÉLITE DA EMPRESA) PRÓXIMO A CIDADE DE CÃNUTAMA - AM . ATÉ O PRESENTE MOMENTO NÃO HÁ INFORMAÇÕES DE POUSO DA AERONAVE EM LÁBREA NEM EM CÃNUTAMA.,null,null,0,0,null,0,0,0,0,0,0,0,0,0,0,0,0,null,PTHLE,HB-350B,null,HELIBRAS,jun/10,582,6,Táxi Aéreo,J.V.C. AEROTÁXI LTDA,J.V.C. AEROTAXI LTDA,1950,verdadeiro,Norte,AS50,null,OTHR,AM
SBMT,SBMT,L2P,PRI,Ocorrência Anormal,Nenhum,2021-02-18,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,Aproximação,"A AERONAVE DECOLOU DO AERÓDROMO CAMPO DE MARTE (SBMT), SÃO PAULO, SP, PARA VOO LOCAL DE INSTRUÇÃO, COM UM INSTRUTOR E UM ALUNO A BORDO. APÓS PROCEDIMENTOS DE TOQUE E ARREMETIDA, DURANTE O POUSO FINAL, NÃO HOUVE O ABAIXAMENTO DO TREM DE POUSO APÓS O COMANDO. FOI EFETUADO O ABAIXAMENTO DO TREM PELO SISTEMA DE EMERGÊNCIA. A AERONAVE EFETUOU O POUSO EM SEGURANÇA. O INSTRUTOR E O ALUNO SAÍRAM ILESOS. A AERONAVE NÃO TEVE DANOS.",17:50,SBMT,null,2,"-23,5067",null,null,null,null,null,null,null,null,null,null,null,null,"-46,6339",PRFTX,PA-34-200,SÃO PAULO,PIPER AIRCRAFT,202185744,27224,5,Voo de Instrução,AEROCLUBE DE SAO PAULO,AEROCLUBE DE SAO PAULO,1814,verdadeiro,Sudeste,PA34,Público,SCF-NP,SP
,,L2J,TPR,Incidente,null,2010-05-01,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,null,A AERONAVE PT-MZN EFETUANDO O VOO JJ3081 TRECHO SBGL//SBCT ABORTOU A DECOLAGEM DEVIDO MENSAGEM DE AUTO FLT A/THR OFF,null,null,0,0,null,0,0,0,0,0,0,0,0,0,0,0,0,null,PTMZN,A320-231,null,AIRBUS S.A.S.,113/2010,860,183,Voo Regular,TAM,TAM,77000,verdadeiro,Sudeste,A320,null,SCF-NP,RJ
SNMA,SBBE,L2P,TPX,Incidente Grave,Nenhum,2014-08-19,PERDA DE CONTROLE NO SOLO,Táxi,"APÓS AUTORIZAÇÃO DA TORRE PARA TAXIAR DO PÁTIO REMOTO PARA A PISTA 06, AO INGRESSAR NA PISTA 02 INTERCESSÃO COM A ALFA, A AERONAVE SAIU PARA DIREITA E INGRESSOU NA GRAMA POR CERCA DE TRÊS METROS.",08:45:00,null,2,1,"-1,38472",0,0,0,0,0,0,0,0,0,0,0,0,"-48,4789",PTRMX,EMB-810C,BELÉM,EMBRAER,1382/2014,6153,6,Voo Privado,PIQUIATUBA TÁXI AÉREO LTDA - EPP,PIQUIATUBA TAXI AEREO LTDA - EPP,2073,verdadeiro,Norte,PA34,null,LOC-G,PA
SBVT,SBKP,L2J,TPR,Ocorrência Anormal,Nenhum,2015-11-26,null,Em rota,"Voo 4086, durante cruzeiro com destino a VIX, apresentou pane de indicação de porta aberta. Tripulação realizou procedimentos previstos e alternou o voo para GIG. Cmte declarou emergência para pouso e ao passar pelo  FL 145 desconsiderou o pedido de emergência aeronave devido a interrupção da pane. Pouso e desembarque ocorreram sem intercorrências. Passageiros foram reacomodados em outro voo para prosseguimento.",16:26:00,null,79,5,"-22,9103",0,0,0,0,0,0,0,0,0,0,0,0,"-43,1628",PRAYH,ERJ 190-200 LR,RIO DE JANEIRO,EMBRAER,1910/2015,6623,125,Voo Regular,AZUL,AZUL,50790,verdadeiro,Sudeste,E190,null,null,RJ
SBBH,SBCB,L2P,PRI,Incidente,Leve,2015-08-20,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,Corrida após pouso,"Após o pouso, a tripulação identificou um pneu furado, mas foi capaz de livrar a pista por meios próprios.",19:41:00,null,0,2,"-19,8506",0,0,0,0,0,0,0,0,0,0,0,0,"-43,95",PTJSQ,PA-34-200,BELO HORIZONTE,PIPER AIRCRAFT,1351/2015,6363,7,Voo de Instrução,CHB ESCOLA DE AVIAÇÃO CIVIL LTDA,CHB ESCOLA DE AVIACAO CIVIL LTDA,1814,verdadeiro,Sudeste,PA34,null,SCF-NP,MG
SBJD,SBJD,L1P,PRI,Incidente,Nenhum,2016-04-14,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,Corrida após pouso,"NA CORRIDA DE DESACELERAÇÃO APÓS POUSAR NORMALMENTE NA PISTA 36 EM SBJD, FOI OBSERVADA LEVE VIBRAÇÃO. AO ABANDONAR A PISTA FOI CONSTATADO QUE O PNEU DO TREM DE POUSO DE NARIZ ESTAVA ESVAZIADO. A AERONAVE AGUARDOU APOIO DE SOLO.",19:05:00,null,0,2,"-23,1817",0,0,0,0,0,0,0,0,0,0,0,0,"-46,9436",PREJN,152,JUNDIAÍ,CESSNA AIRCRAFT,201604201749493/2016,6881,2,Voo de Instrução,EJ ESCOLA DE AERONAUTICA LTDA,EJ ESCOLA DE AERONAUTICA CIVIL LTDA,759,verdadeiro,Sudeste,C152,null,SCF-NP,SP
SBMT,SBMT,L1P,PRI,Incidente,Leve,2016-02-13,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,Corrida após pouso,"A AERONAVE REALIZAVA VOO DE INSTRUÇÃO E NO POUSO FINAL A TRIPULAÇÃO SENTIU FORTE VIBRAÇÃO, MAS MANTEVE O CONTROLE DIRECIONAL DA AERONAVE ATÉ A PARADA TOTAL. A AERONAVE NÃO CONSEGUIU REALIZAR O TÁXI DE REGRESSO E POSTERIORMENTE FOI VERIFICADO O ESVAZIAMENTO DO PNEU DA BEQUILHA.",18:10:00,null,0,2,null,0,0,0,0,0,0,0,0,0,0,0,0,null,PTRXC,EMB-712,SÃO PAULO,NEIVA,201602151820228/2016,6867,4,Voo de Instrução,AEROCLUBE DE SAO PAULO,AEROCLUBE DE SAO PAULO,1157,verdadeiro,Sudeste,P28A,null,SCF-NP,SP
,,L1P,S05,Acidente,Substancial,2015-08-13,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Especializada,"Aeronave decolou da Fazenda São Francisco para pulverizar uma plantação de bananas no município de Itariri-SP. Após o primeiro tiro, depois da curva de reversão para o segundo tiro, o piloto percebeu perda de potência e realizou o pouso forçado num sítio do Bairro Ana Dias.",12:50:00,null,0,1,"-24,3081",0,0,0,0,0,0,0,0,0,0,0,0,"-47,0739",PTOQW,PA-25-260,ITARIRI,CHINCUL SACAIFI,1302/2015,6343,1,Operação Agrícola,AERO AGRICOLA DO VALE LTDA,AERO AGRICOLA DO VALE LTDA,1315,verdadeiro,Sudeste,PA25,null,SCF-PP,SP
SBCG,SSKG,L1P,TPP,Incidente,Leve,2016-10-10,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,Em rota,"APÓS A DECOLAGEM, NA VERTICAL DE CONDOMÍNIO FOI SOLICITADO RETORNO EM VIRTUDE DE SOLTURA DO CAPOT . O POUSO FOI REALIZADO SOB CONDIÇÕES NORMAIS. O PILOTO SAIU ILESO.",13:10:00,null,0,1,"-20,5056",0,0,0,0,0,0,0,0,0,0,0,0,"-54,5172",PTDRR,V35B,CAMPO GRNADE,BEECH AIRCRAFT,201610241523118/2016,7102,6,Voo Privado,CGB COMÉRCIO DE COMBUSTÍVEIS LTDA ME,CGB COMERCIO DE COMBUSTIVEIS LTDA ME,1542,verdadeiro,Centro-Oeste,BE35,null,SCF-NP,MS
,,L1P,S05,Acidente,Substancial,2016-01-08,PERDA DE CONTROLE NO SOLO,Decolagem,"A AERONAVE IRIA REALIZAR SUA QUARTA DECOLAGEM DE UMA ÁREA DE POUSO AEROAGRÍCOLA, NA GRANJA SÃO PEDRO, EM ITAQUI, RS, POR VOLTA DAS 08H30MIN (HBV), COM UM PILOTO A BORDO, PARA APLICAR FUNGICIDA EM LAVOURA DE ARROZ. APÓS TER PERCORRIDO APROXIMADAMENTE 30 METROS, A AERONAVE PERDEU A RETA, SAIU DA PISTA E CAPOTOU.",10:30:00,null,0,1,"-29,2606",0,0,0,0,0,0,0,0,0,0,0,0,"-56,4519",PTUQJ,EMB-202,ITAQUI,NEIVA,201603111930431/2016,6860,1,Operação Agrícola,AEROPEL AVIACAO AGRICOLA,AEROPEL AVIACAO AGRICOLA,1800,verdadeiro,Sul,IPAN,null,LOC-G,RS
SBGO,SNDC,L1P,TPP,Incidente,Leve,2015-10-07,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,Descida,"O piloto informou ao APP-AN que a aeronave estava com pane no alternador principal, solicitando prioridade para o pouso em SBGO. O pouso ocorreu dentro da normalidade.",11:56:00,null,2,1,"-16,6297",0,0,0,0,0,0,0,0,0,0,0,0,"-49,2267",PRSAR,SR22,GOIÂNIA,CIRRUS DESIGN,1626/2015,6508,4,Voo Privado,SEBASTIÃO ALVES RIBEIRO FILHO,SEBASTIAO ALVES RIBEIRO FILHO,1542,verdadeiro,Centro-Oeste,SR22,null,SCF-NP,GO
SSGY,SBLO,L1P,TPP,Ocorrência Anormal,Nenhum,2016-03-30,null,Táxi,"A AERONAVE DECOLARIA DE LONDRINA, PR (SBLO) PARA GUAÍRA, PR (SSGY) COM UM PILOTO E UM PASSAGEIRO A BORDO, A FIM DE REALIZAR VOO DE TRANSPORTE PARTICULAR DE PASSAGEIRO. NO PONTO DE ESPERA DA PISTA 13 DE SBLO, DURANTE OS CHEQUES ANTES DA DECOLAGEM, O PILOTO CONSTATOU QUE A CARGA DA BATERIA DA AERONAVE ESTAVA ABAIXO DO NORMAL. DESTA FORMA, O TRIPULANTE SOLICITOU REGRESSO AO HANGAR PARA CORREÇÃO DA ANORMALIDADE.",11:12:00,null,1,1,"-23,3303",0,0,0,0,0,0,0,0,0,0,0,0,"-51,1367",PRMIO,A36,LONDRINA,RAYTHEON AIRCRAFT,201603301806124/2016,6784,6,Voo Privado,ESPANA AGROPECUARIA E PARTICIPACOES LTDA,ESPANA AGROPECUARIA E PARTICIPACOES LTDA,1656,verdadeiro,Sul,BE36,null,null,PR
SBGR,SBPS,L2J,TPR,Incidente,Nenhum,2021-10-19,FOGO/FUMAÇA,Subida,"A aeronave decolou do Aeroporto de Porto Seguro (SBPS), BA, com destino ao Aeroporto Governador André Franco Montoro (SBGR), São Paulo, SP, a fim de realizar transporte aéreo público regular, com 7 tripulantes e 179 passageiros a bordo. Após a decolagem, foi notada fumaça na cabine. A aeronave retornou para pouso. A aeronave não teve danos. Todos a bordo saíram ilesos.",14:27,SBPS,179,7,"-16,4381",null,null,null,null,null,null,null,null,null,null,null,null,"-39,0839",PRGXT,737-8EH,PORTO SEGURO ,BOEING COMPANY,2021712667,29944,196,Voo Regular,GOL LINHAS AEREAS S.A,GOL,70533,verdadeiro,Nordeste,B738,Público,F-NI,BA
****,****,L1P,S11,Acidente,Substancial,2023-02-15,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Decolagem,"A aeronave iniciou a corrida de decolagem na Área de pouso para uso aeroagrícola (APUA) da Fazenda Morro Vermelho (ZZZZ), Mineiros, GO, por volta das 14h00min (UTC), a fim de realizar voo de pulverização, com um tripulante a bordo. Durante a corrida de decolagem ocorreu a falha do motor e a aeronave não conseguiu levantar voo, vindo a extrapolar o limite longitudinal da pista, colidindo com a plantação à frente.",14:00:00,Aeródromo não cadastrado,null,1,"-17,4213",null,null,null,null,null,null,null,null,null,null,null,null,"-53,0623",PTUJD,EMB-202,MINEIROS ,NEIVA,2023457916,36368,1,Operação Especializada,MINEIROS AVIACAO AGRICOLA LTDA,MINEIROS AVIACAO AGRICOLA LTDA,1800,verdadeiro,Centro-Oeste,IPAN,null,SCF-PP,GO
SBMT,SBMT,L1P,PRI,Acidente,Substancial,2021-11-13,COLISÃO NO SOLO,Pouso,"A aeronave decolou do aeródromo Campo de Marte (SBMT) em São Paulo, SP, para um voo local de instrução, com previsão de toque e arremetida (TGL) no aeródromo de Atibaia (SDTB), em Atibaia-SP, com um aluno e um instrutor a bordo. Durante um dos procedimentos de toque e arremetida no aeródromo de Atibaia, ao tocar a pista, ocorreu a perda de controle da aeronave e colisão com um obstáculo em solo. A aeronave teve danos substanciais. O instrutor e o aluno saíram ilesos.",15:00,SDTB,null,2,"-23,1293",null,null,null,null,null,null,null,null,null,null,null,null,"-46,5747",PTIZS,PA-28-140,ATIBAIA,PIPER AIRCRAFT,2021104070,30686,2,Voo de Instrução,AEROCLUBE DE SAO PAULO,AEROCLUBE DE SAO PAULO,975,verdadeiro,Sudeste,P28A,Público,GCOL,SP
**** ,**** ,L1P,S11,Acidente,Substancial,2023-01-30,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,Corrida após pouso,"A aeronave decolou da Pista Campo Limpo (ZZZZ), Canápolis, MG, por volta das 20h00min (UTC), a fim de realizar voo local de operação aeroagrícola de pulverização, com um piloto a bordo. Em virtude de condições meteorológicas adversas, o piloto decidiu retornar à pista, optando por executar o pouso carregado. Durante o pouso, houve a quebra dos trens de pouso principais e a aeronave excedeu o limite lateral esquerdo da pista.",20:00:00,Aeródromo não cadastrado,null,1,"-18,5328",null,null,null,null,null,null,null,null,null,null,null,null,"-49,1713",PRETX,A188B,CANÁPOLIS,CESSNA AIRCRAFT,2023207105,36228,1,Operação Agrícola,TEXTOR AVIACAO AGRICOLA LTDA - EPP,TEXTOR AVIACAO AGRICOLA LTDA - EPP,1497,verdadeiro,Sudeste,C188,null,SCF-NP,MG
SBSP,SBCT,L2J,TPP,Incidente,Leve,2022-08-10,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,Corrida após pouso,"A aeronave decolou do Aeródromo Afonso Pena (SBCT), Curitiba, PR, com destino ao Aeródromo Congonhas (SBSP), São Paulo, SP, a fim de realizar um voo privado, com dois pilotos e dois passageiros a bordo. Durante a aproximação para SBSP houve uma falha no sistema hidráulico e foi iniciada aproximação perdida. Após vetorações do controle e gerenciamento da tripulação, foi decidido pousar no Aeródromo de Sorocaba (SDCO), Sorocaba, SP. Durante a corrida após pouso, houve o estouro dos pneus dos trens principais.",14:50,SDCO,2,2,"-23,4778",null,null,null,null,null,null,null,null,null,null,null,null,"-47,49",PPOVD,EMB-505,SOROCABA,EMBRAER,2022951230,33488,10,Voo Privado,O.V.D. IMPORTADORA E DISTRIBUIDORA LTDA,O.V.D. IMPORTADORA E DISTRIBUIDORA LTDA,8150,verdadeiro,Sudeste,E55P,Público,SCF-NP,SP
SABE,SBGR,L2J,TPR,Incidente,Nenhum,2023-09-02,COLISÃO COM AVE,Decolagem,"A aeronave decolou do aeroporto de Guarulhos - Governador André Franco Montoro (SBGR), São Paulo, SP, com destino ao Aeroporto Regional Jorge Newbery (SABE), Buenos Aires, Argentina, a fim de realizar transporte aéreo público regular. Durante a fase de decolagem, houve colisão de ave no radome. O voo prosseguiu normalmente para o aeródromo de destino.",10:30:00,SBGR,null,null,"-23,2608",null,null,null,null,null,null,null,null,null,null,null,null,"-46,2823",PRMHQ,A320-214,GUARULHOS,AIRBUS S.A.S.,202354145371,39190,189,Voo Regular,TAM LINHAS AEREAS S.A,TAM,77000,verdadeiro,Sudeste,A320,Público,BIRD,SP
SBIT,SDBB,L1P,PET,Acidente,Substancial,2022-02-27,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Decolagem,"A aeronave decolou do Aeródromo de Bebedouro (SDBB), Bebedouro, SP, com destino ao Aeródromo Hidrelétrica de Itumbiara (SBIT), Itumbiara, GO, para voo particular. Após a decolagem, a aeronave apresentou perda de potência, vindo a colidir com o solo.",13:00,SDBB,null,null,"-20,9071",null,null,null,1,null,1,null,null,null,null,null,null,"-48,4642",PPXDB,EUROPA,BEBEDOURO,EUROPA AVIATION,2022154439,31467,002,Voo Privado,JANIS MARIA DE BRITO MARTINS,JANIS MARIA DE BRITO MARTINS,000621,falso,Sudeste,ULAC,Público,SCF-PP,SP
APUA,APUA,L1P,S11,Acidente,Substancial,2023-06-09,EXCURSÃO DE PISTA,Decolagem,"A aeronave iria decolar da Área de Pouso para Uso Aeroagrícola Pista do Junco (ZZZZ), no município de Uruguaiana, RS, por volta das 08h45min, para realizar semeadura de Azevém. Durante a corrida de decolagem, a aeronave saiu pela lateral esquerda da pista, vindo a colidir contra o solo e capotar.",11:45:00,Fora de Aeródromo,null,1,"-30,0006",null,null,null,null,null,null,null,null,null,null,null,null,"-56,4831",PTGRA,EMB-201A,URUGUAIANA ,NEIVA,202348566641,37608,1,Operação Agrícola,VOAAR AVIACAO AGRICOLA LTDA,VOAAR AVIACAO AGRICOLA LTDA,1800,verdadeiro,Sul,IPAN,-,RE,RS
SSGY,SSXO,L1P,TPP,Incidente,Nenhum,2022-02-27,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,Cruzeiro,"A aeronave decolou do aeródromo Pousada das Águias (SSXO), no município de Presidente Castelo Branco, PR, com destino no aeródromo de Guaíra, no município de Guaíra, PR, por volta das 19H30MIN (UTC), a fim de realizar voo privado com um piloto a bordo.Por volta das 20H09MIN (UTC) houve falha de comunicação entre a aeronave e o APP-LO. Após várias tentativas sem sucesso, a aeronave retornou para pouso, sem outras anormalidades, no aeródromo Pousada das Águias (SSXO).",20:09,Fora de Aeródromo,null,1,"-23,3886",null,null,null,null,null,null,null,null,null,null,null,null,"-52,1775",PTMUN,172N,PRESIDENTE CASTELO BRANCO,CESSNA AIRCRAFT,2022300779,31487,4,Voo Privado,GILBERTO MAGNONI BORTOLI,GILBERTO MAGNONI BORTOLI,1043,verdadeiro,Sul,C172,-,SCF-NP,PR
****,****,null,Estrangeira,Ocorrência de Solo,null,2018-05-22,OPERAÇÕES NO SOLO,Estacionamento,"During the stay of the aircraft XA-ALZN in platform number 81, apparently by error is active the slide of the door R2.",20:31:00,Aeródromo não cadastrado,null,null,"-19,261",null,null,null,null,null,null,null,null,null,null,null,null,"-99,0419",XAALZ,null,"Cidade do México, México",null,2023445869,37100,null,null,AEROMÉXICO CONNECT AIRLINES,AEROMÉXICO CONNECT AIRLINES,null,falso,null,null,null,RAMP,Exterior
SBGR,SBPA,L2J,TPR,Incidente,Nenhum,2023-05-05,COLISÃO COM AVE,Decolagem,"A aeronave decolou do aeroporto Salgado Filho (SBPA), Porto Alegre, RS, com destino ao aeroporto de Guarulhos - Governador André Franco Montoro (SBGR), São Paulo, SP, a fim de realizar transporte aéreo público regular. Durante a fase de decolagem houve colisão de pássaro com o trem de pouso. A tripulação realizou os procedimentos previstos em manual e o voo prosseguiu normalmente. Não houve mais intercorrências.",17:30:00,SBPA,null,null,"-29,5941",null,null,null,null,null,null,null,null,null,null,null,null,"-51,1016",PRGUJ,737-8EH,PORTO ALEGRE,BOEING COMPANY,202391128966,39131,196,Voo Regular,GOL LINHAS AEREAS S.A,GOL,79015,verdadeiro,Sul,B738,Público,BIRD,RS
SNBA,SBGO,L2T,TPP,Incidente,Nenhum,2023-02-08,FOGO/FUMAÇA,Subida,"A aeronave decolou do Aeródromo Santa Genoveva (SBGO), Goiânia, GO por volta das 10h11min (UTC) com destino ao Aeródromo Chafei Amsei (SNBA), Barretos, SP, com um tripulante e quatro passageiros a bordo. Com cerca de 10 (dez) minutos de voo iniciou-se fumaça na cabine, proveniente do motor esquerdo. O piloto optou por efetuar o corte do referido motor e retornar ao aeródromo de origem, onde pousou a aeronave sem maiores intercorrências.",10:30:00,SBGO,4,1,"-16,3757",null,null,null,null,null,null,null,null,null,null,null,null,"-49,1316",PTONO,F90,GOIÂNIA,BEECH AIRCRAFT,2023535967,36372,8,Voo Privado,MAC ADMINISTRAÇÃO PATRIMONIAL E PARTICIPAÇÕES LTDA,MAC ADMINISTRAÇÃO PATRIMONIAL E PARTICIPAÇÕES LTDA,4967,verdadeiro,Centro-Oeste,BE9T,Público,F-NI,GO
SWPD ,****,L1P,TPX,Ocorrência Anormal,Nenhum,2023-04-13,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,Corrida após pouso,"A aeronave decolou da comunidade indígena Novo Demini (ZZZZ), Barcelos, AM, com destino ao aeródromo Pouso da Águia (SWPD), Cantá, RR, a fim de efetuar transporte de passageiros, com um tripulante e cinco passageiros a bordo. Durante o pouso, o piloto percebeu que um pneu estava furado e direcionou a aeronave para a lateral direita da pista, parando dentro dos limites da pista.",18:13:00,SWPD,5,1,"-2,4714",null,null,null,null,null,null,null,null,null,null,null,null,"-60,3545",PRJSA,U206G,CANTÁ,CESSNA AIRCRAFT,2023930722,37027,6,Táxi Aéreo,VOARE TÁXI AÉREO LTDA,VOARE TÁXI AÉREO LTDA,1633,verdadeiro,Norte,C206,Privado,SCF-NP,RR
